dataset,metric,SVM,NB,KNN,RndmFor,MLP,GradBst,DT,SGD
X_cor_ols,accuracy,0.723,0.6672,0.664,0.7127,0.7246,0.7023,0.6025,0.7286
X_cor_ols,f1,0.4538,0.4582,0.4724,0.4932,0.4815,0.483,0.4465,0.4658
X_cor_ols,roc_auc,0.7189,0.7084,0.6718,0.7311,0.7664,0.7377,0.5937,0.7553
X_cor_pear,accuracy,0.668,0.6759,0.6049,0.6456,0.6664,0.6624,0.6169,0.6799
X_cor_pear,f1,0.2669,0.3653,0.3933,0.4086,0.3158,0.3652,0.4062,0.3597
X_cor_pear,roc_auc,0.5306,0.6859,0.6091,0.6156,0.6828,0.6646,0.5926,0.6856
X_forest,accuracy,0.723,0.668,0.6584,0.7103,0.7191,0.6991,0.5938,0.7159
X_forest,f1,0.4526,0.4651,0.4847,0.4981,0.4696,0.4688,0.4366,0.4452
X_forest,roc_auc,0.726,0.706,0.6644,0.7352,0.7649,0.7378,0.585,0.7554
X_mqi_datos,accuracy,0.7254,0.2777,0.656,0.7087,0.7183,0.7015,0.6097,0.723
X_mqi_datos,f1,0.4608,0.2124,0.4675,0.4796,0.4769,0.466,0.4624,0.4549
X_mqi_datos,roc_auc,0.728,0.6698,0.6655,0.7297,0.757,0.732,0.608,0.7492
X_mqi_norm,accuracy,0.7238,0.5187,0.6568,0.7063,0.7119,0.7007,0.5898,0.7191
X_mqi_norm,f1,0.4637,0.4529,0.4574,0.4875,0.4599,0.4914,0.4469,0.4537
X_mqi_norm,roc_auc,0.683,0.683,0.6631,0.7322,0.7488,0.7332,0.5953,0.7491
X_pca_95,accuracy,0.6672,0.6807,0.5157,0.5508,0.6831,0.53,0.4917,0.66
X_pca_95,f1,0.2698,0.3719,0.3676,0.3677,0.3691,0.3484,0.3684,0.3695
X_pca_95,roc_auc,0.6091,0.6792,0.5786,0.6401,0.691,0.6543,0.5556,0.6577
X_selected_4,accuracy,0.7254,0.6991,0.6592,0.6911,0.7199,0.7015,0.581,0.7223
X_selected_4,f1,0.4567,0.4351,0.4795,0.4769,0.4678,0.4779,0.4391,0.4583
X_selected_4,roc_auc,0.7289,0.7122,0.65,0.6994,0.7553,0.7259,0.5883,0.7501
X_selected_8,accuracy,0.7246,0.6799,0.6624,0.7143,0.723,0.7031,0.585,0.7135
X_selected_8,f1,0.4548,0.4762,0.4859,0.4994,0.47,0.4767,0.4333,0.4414
X_selected_8,roc_auc,0.7231,0.7134,0.6644,0.7374,0.7572,0.7442,0.5847,0.7538
X_selected_all,accuracy,0.7222,0.1844,0.6536,0.7159,0.719,0.7063,0.593,0.7174
X_selected_all,f1,0.4545,0.1242,0.4719,0.496,0.4882,0.4776,0.4457,0.4481
X_selected_all,roc_auc,0.7281,0.7018,0.6579,0.7401,0.7561,0.736,0.5941,0.7569
X_svm,accuracy,0.7222,0.1844,0.6536,0.7079,0.7127,0.7055,0.6121,0.7198
X_svm,f1,0.4545,0.1242,0.4719,0.4816,0.4998,0.4787,0.4597,0.4501
X_svm,roc_auc,0.7281,0.7018,0.6579,0.7363,0.7603,0.7372,0.6041,0.7563
