dataset,metrics,svm,rfc,mlp
X_cor_ols,accuracy,0.7668,0.7368,0.7658
X_cor_ols,f1,0.5357,0.4901,0.4848
X_cor_ols,roc_auc,0.7668,0.7368,0.7658
X_cor_pear,accuracy,0.6892,0.6169,0.6903
X_cor_pear,f1,0.3787,0.3911,0.3617
X_cor_pear,roc_auc,0.6892,0.6169,0.6903
X_forest,accuracy,0.7671,0.7352,0.7639
X_forest,f1,0.5383,0.4955,0.4771
X_forest,roc_auc,0.7671,0.7352,0.7639
X_mqi_datos,accuracy,0.7576,0.7341,0.7604
X_mqi_datos,f1,0.5328,0.465,0.4674
X_mqi_datos,roc_auc,0.7576,0.7341,0.7604
X_mqi_norm,accuracy,0.7508,0.7232,0.753
X_mqi_norm,f1,0.5291,0.4732,0.479
X_mqi_norm,roc_auc,0.7508,0.7232,0.753
X_selected_4,accuracy,0.7585,0.7047,0.7577
X_selected_4,f1,0.542,0.4664,0.4566
X_selected_4,roc_auc,0.7585,0.7047,0.7577
X_selected_8,accuracy,0.7652,0.7419,0.7642
X_selected_8,f1,0.5388,0.4787,0.4707
X_selected_8,roc_auc,0.7652,0.7419,0.7642
X_selected_all,accuracy,0.7662,0.7369,0.7616
X_selected_all,f1,0.5466,0.4898,0.4691
X_selected_all,roc_auc,0.7662,0.7369,0.7616
X_svm,accuracy,0.7662,0.7384,0.7645
X_svm,f1,0.5466,0.4988,0.4575
X_svm,roc_auc,0.7662,0.7384,0.7645
