dataset,metric,SVM,NB,KNN,RndmFor,MLP,GradBst,DT,SGD
X_sarco_datos,accuracy,0.61218,0.53159,0.54351,0.58342,0.59858,0.57305,0.50361,0.6058
X_sarco_datos,precision,0.4205,0.53557,0.50182,0.56686,0.59672,0.54082,0.4523,0.52793
X_sarco_datos,recall,0.45978,0.56127,0.45918,0.50415,0.49591,0.50999,0.4578,0.46248
X_sarco_datos,roc_auc,0.7508,0.74671,0.66639,0.73759,0.75282,0.73816,0.5908,0.74619
X_sarco_datos,f1,0.43269,0.50411,0.46104,0.50774,0.48899,0.51213,0.45009,0.44286
X_cor,accuracy,0.59622,0.59225,0.52603,0.57547,0.58025,0.57704,0.48766,0.58182
X_cor,precision,0.40423,0.55854,0.48647,0.52383,0.47476,0.50597,0.43589,0.39226
X_cor,recall,0.44849,0.50926,0.43941,0.49397,0.45135,0.48682,0.44446,0.43829
X_cor,roc_auc,0.73687,0.74463,0.65121,0.70762,0.74176,0.71404,0.58072,0.72549
X_cor,f1,0.42167,0.5166,0.43951,0.50024,0.43992,0.48416,0.43669,0.41178
X_cor_ols,accuracy,0.61776,0.53721,0.522,0.56826,0.60578,0.58102,0.50681,0.59463
X_cor_ols,precision,0.42348,0.52268,0.46866,0.52733,0.6273,0.54874,0.4523,0.46787
X_cor_ols,recall,0.46409,0.55942,0.43126,0.48506,0.4843,0.5067,0.45327,0.45206
X_cor_ols,roc_auc,0.75522,0.74487,0.64563,0.7359,0.75496,0.7387,0.58832,0.7389
X_cor_ols,f1,0.43699,0.49976,0.43192,0.48643,0.4807,0.51196,0.44886,0.42888
X_forest,accuracy,0.60099,0.59303,0.52037,0.59621,0.58904,0.56829,0.49246,0.5954
X_forest,precision,0.40903,0.55404,0.49409,0.57899,0.56885,0.54168,0.434,0.50509
X_forest,recall,0.4515,0.5439,0.43774,0.51535,0.48573,0.51124,0.4405,0.45234
X_forest,roc_auc,0.74762,0.75102,0.65207,0.73693,0.74951,0.7223,0.57752,0.73915
X_forest,f1,0.42475,0.54045,0.44528,0.52372,0.49081,0.51401,0.43226,0.43207
X_pca_95,accuracy,0.59619,0.57624,0.43096,0.54825,0.57783,0.5244,0.47402,0.494
X_pca_95,precision,0.40973,0.60322,0.34273,0.51391,0.47311,0.52335,0.44038,0.45036
X_pca_95,recall,0.44681,0.464,0.34748,0.46144,0.46098,0.46357,0.42234,0.45776
X_pca_95,roc_auc,0.73923,0.72086,0.52375,0.70564,0.73026,0.71582,0.56239,0.73473
X_pca_95,f1,0.41965,0.46313,0.26356,0.45813,0.44655,0.45362,0.41936,0.36404
X_sarco_norm,accuracy,0.61216,0.55549,0.56189,0.59781,0.59461,0.5874,0.50046,0.60098
X_sarco_norm,precision,0.41566,0.52154,0.52816,0.54291,0.5106,0.51858,0.44455,0.45164
X_sarco_norm,recall,0.46049,0.56415,0.4804,0.49928,0.48689,0.48902,0.44747,0.46305
X_sarco_norm,roc_auc,0.75248,0.74675,0.68797,0.74573,0.75081,0.72957,0.58429,0.7564
X_sarco_norm,f1,0.43353,0.52557,0.48554,0.50004,0.478,0.48975,0.4413,0.4455
X_svm,accuracy,0.61376,0.54279,0.54036,0.57786,0.59618,0.57786,0.4988,0.60578
X_svm,precision,0.42288,0.54911,0.50557,0.52742,0.52557,0.52231,0.43945,0.63249
X_svm,recall,0.4605,0.5818,0.45915,0.48245,0.49757,0.47929,0.44444,0.46255
X_svm,roc_auc,0.75752,0.74679,0.66057,0.7378,0.75817,0.73317,0.58206,0.7459
X_svm,f1,0.43336,0.51619,0.46574,0.48829,0.49759,0.48233,0.4388,0.44565
X_selected_4,accuracy,0.58984,0.57785,0.49082,0.5603,0.58105,0.56111,0.5108,0.58902
X_selected_4,precision,0.40089,0.54262,0.45995,0.50653,0.54796,0.51017,0.45121,0.62171
X_selected_4,recall,0.44296,0.5345,0.4141,0.47782,0.4975,0.47313,0.45191,0.45282
X_selected_4,roc_auc,0.7038,0.74393,0.63409,0.70501,0.7402,0.71522,0.58848,0.72405
X_selected_4,f1,0.41642,0.53034,0.41673,0.48215,0.50116,0.47577,0.4491,0.4394
X_selected_8,accuracy,0.61378,0.54515,0.52519,0.58182,0.6042,0.58981,0.52276,0.60418
X_selected_8,precision,0.42125,0.55054,0.47669,0.54659,0.62124,0.5425,0.4655,0.57559
X_selected_8,recall,0.46046,0.58066,0.43913,0.49548,0.48756,0.50469,0.4683,0.45979
X_selected_8,roc_auc,0.75847,0.74773,0.65139,0.74442,0.75455,0.73554,0.59946,0.74054
X_selected_8,f1,0.43358,0.51981,0.44087,0.50238,0.49073,0.509,0.46416,0.44052
X_selected_all,accuracy,0.61218,0.53159,0.54351,0.58342,0.59858,0.57305,0.50361,0.6058
X_selected_all,precision,0.4205,0.53557,0.50182,0.56686,0.59672,0.54082,0.4523,0.52793
X_selected_all,recall,0.45978,0.56127,0.45918,0.50415,0.49591,0.50999,0.4578,0.46248
X_selected_all,roc_auc,0.7508,0.74671,0.66639,0.73759,0.75282,0.73816,0.5908,0.74619
X_selected_all,f1,0.43269,0.50411,0.46104,0.50774,0.48899,0.51213,0.45009,0.44286
