dataset,metric,SVM,NB,KNN,RndmFor,MLP,GradBst,DT,SGD
X_cor,accuracy,0.5962,0.5923,0.526,0.5755,0.5802,0.577,0.4877,0.5818
X_cor,f1,0.4217,0.5166,0.4395,0.5002,0.4399,0.4842,0.4367,0.4118
X_cor,roc_auc,0.7369,0.7446,0.6512,0.7076,0.7418,0.714,0.5807,0.7255
X_cor_ols,accuracy,0.6178,0.5372,0.522,0.5683,0.6058,0.581,0.5068,0.5946
X_cor_ols,f1,0.437,0.4998,0.4319,0.4864,0.4807,0.512,0.4489,0.4289
X_cor_ols,roc_auc,0.7552,0.7449,0.6456,0.7359,0.755,0.7387,0.5883,0.7389
X_forest,accuracy,0.601,0.593,0.5204,0.5962,0.589,0.5683,0.4925,0.5954
X_forest,f1,0.4248,0.5404,0.4453,0.5237,0.4908,0.514,0.4323,0.4321
X_forest,roc_auc,0.7476,0.751,0.6521,0.7369,0.7495,0.7223,0.5775,0.7392
X_pca_95,accuracy,0.5962,0.5762,0.431,0.5482,0.5778,0.5244,0.474,0.494
X_pca_95,f1,0.4196,0.4631,0.2636,0.4581,0.4466,0.4536,0.4194,0.364
X_pca_95,roc_auc,0.7392,0.7209,0.5238,0.7056,0.7303,0.7158,0.5624,0.7347
X_sarco_datos,accuracy,0.6122,0.5316,0.5435,0.5834,0.5986,0.573,0.5036,0.6058
X_sarco_datos,f1,0.4327,0.5041,0.461,0.5077,0.489,0.5121,0.4501,0.4429
X_sarco_datos,roc_auc,0.7508,0.7467,0.6664,0.7376,0.7528,0.7382,0.5908,0.7462
X_sarco_norm,accuracy,0.6122,0.5555,0.5619,0.5978,0.5946,0.5874,0.5005,0.601
X_sarco_norm,f1,0.4335,0.5256,0.4855,0.5,0.478,0.4898,0.4413,0.4455
X_sarco_norm,roc_auc,0.7525,0.7468,0.688,0.7457,0.7508,0.7296,0.5843,0.7564
X_selected_4,accuracy,0.5898,0.5778,0.4908,0.5603,0.581,0.5611,0.5108,0.589
X_selected_4,f1,0.4164,0.5303,0.4167,0.4822,0.5012,0.4758,0.4491,0.4394
X_selected_4,roc_auc,0.7038,0.7439,0.6341,0.705,0.7402,0.7152,0.5885,0.724
X_selected_8,accuracy,0.6138,0.5452,0.5252,0.5818,0.6042,0.5898,0.5228,0.6042
X_selected_8,f1,0.4336,0.5198,0.4409,0.5024,0.4907,0.509,0.4642,0.4405
X_selected_8,roc_auc,0.7585,0.7477,0.6514,0.7444,0.7546,0.7355,0.5995,0.7405
X_selected_all,accuracy,0.6122,0.5316,0.5435,0.5834,0.5986,0.573,0.5036,0.6058
X_selected_all,f1,0.4327,0.5041,0.461,0.5077,0.489,0.5121,0.4501,0.4429
X_selected_all,roc_auc,0.7508,0.7467,0.6664,0.7376,0.7528,0.7382,0.5908,0.7462
X_svm,accuracy,0.6138,0.5428,0.5404,0.5779,0.5962,0.5779,0.4988,0.6058
X_svm,f1,0.4334,0.5162,0.4657,0.4883,0.4976,0.4823,0.4388,0.4456
X_svm,roc_auc,0.7575,0.7468,0.6606,0.7378,0.7582,0.7332,0.5821,0.7459
