dataset,metrics,svm,rfc,mlp
X_cor,accuracy,0.7461,0.7126,0.7483
X_cor,f1,0.5011,0.4896,0.5084
X_cor,roc_auc,0.7461,0.7126,0.7483
X_cor_ols,accuracy,0.7574,0.7358,0.7595
X_cor_ols,f1,0.5153,0.4906,0.5045
X_cor_ols,roc_auc,0.7574,0.7358,0.7595
X_forest,accuracy,0.754,0.7351,0.7587
X_forest,f1,0.5042,0.5066,0.4851
X_forest,roc_auc,0.754,0.7351,0.7587
X_sarco_datos,accuracy,0.7548,0.7404,0.7603
X_sarco_datos,f1,0.4986,0.5155,0.4723
X_sarco_datos,roc_auc,0.7548,0.7404,0.7603
X_sarco_norm,accuracy,0.7491,0.7372,0.7546
X_sarco_norm,f1,0.4283,0.4875,0.429
X_sarco_norm,roc_auc,0.7491,0.7372,0.7546
X_selected_4,accuracy,0.7456,0.7062,0.7464
X_selected_4,f1,0.5003,0.4989,0.4554
X_selected_4,roc_auc,0.7456,0.7062,0.7464
X_selected_8,accuracy,0.7615,0.7463,0.7649
X_selected_8,f1,0.5045,0.515,0.4765
X_selected_8,roc_auc,0.7615,0.7463,0.7649
X_selected_all,accuracy,0.7548,0.7404,0.7603
X_selected_all,f1,0.4986,0.5155,0.4723
X_selected_all,roc_auc,0.7548,0.7404,0.7603
X_svm,accuracy,0.7604,0.7392,0.764
X_svm,f1,0.5058,0.4905,0.4326
X_svm,roc_auc,0.7604,0.7392,0.764
